identifiantCandidat,genre,nationalite,serie,mentionAuBac,redoublementTerminale,rangEnTerminale,age,annee
2017497,M,IVOIRIENNE,C,BIEN,NON,3,21.0,2017
2017503,F,IVOIRIENNE,C,BIEN,NON,14,22.0,2017
2017505,F,IVOIRIENNE,D,BIEN,NON,1,21.0,2017
2017508,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,22.0,2017
2017510,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,17,21.0,2017
2017517,M,IVOIRIENNE,F4,BIEN,NON,2,21.0,2017
2017518,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,22.0,2017
2017520,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,9,21.0,2017
2017524,M,IVOIRIENNE,C,BIEN,NON,3,21.0,2017
2017525,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,3,21.0,2017
2017527,M,IVOIRIENNE,E,ASSEZ-BIEN,NON,1,22.0,2017
2017531,M,IVOIRIENNE,F3,PASSABLE,NON,4,24.0,2017
2017534,M,IVOIRIENNE,C,TRES BIEN,NON,2,21.0,2017
2017547,M,IVOIRIENNE,C,BIEN,NON,2,21.0,2017
2017559,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,21.0,2017
2017564,M,IVOIRIENNE,E,PASSABLE,NON,8,21.0,2017
2017576,M,IVOIRIENNE,D,BIEN,NON,1,21.0,2017
2017583,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,20.0,2017
2017584,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,22.0,2017
2017586,F,IVOIRIENNE,D,BIEN,NON,1,21.0,2017
2017587,M,IVOIRIENNE,D,BIEN,NON,1,22.0,2017
2017589,M,IVOIRIENNE,F4,ASSEZ-BIEN,NON,5,25.0,2017
2017591,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,3,21.0,2017
2017592,M,IVOIRIENNE,F2,ASSEZ-BIEN,NON,5,24.0,2017
2017601,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,7,21.0,2017
2017603,M,IVOIRIENNE,F7,ASSEZ-BIEN,NON,8,24.0,2017
2017606,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,2,21.0,2017
2017609,F,IVOIRIENNE,C,BIEN,NON,11,22.0,2017
2017610,M,IVOIRIENNE,C,BIEN,NON,2,21.0,2017
2017613,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,20.0,2017
2017625,M,IVOIRIENNE,D,BIEN,NON,1,20.0,2017
2017630,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,21.0,2017
2017633,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,27.0,2017
2017637,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,21.0,2017
2017642,F,IVOIRIENNE,F1,PASSABLE,OUI,10,25.0,2017
2017672,M,IVOIRIENNE,D,BIEN,NON,2,23.0,2017
2017686,F,IVOIRIENNE,D,BIEN,NON,13,21.0,2017
2017687,M,IVOIRIENNE,F4,ASSEZ-BIEN,NON,1,23.0,2017
2017689,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,21.0,2017
2017700,M,IVOIRIENNE,F1,ASSEZ-BIEN,NON,1,25.0,2017
2017708,M,IVOIRIENNE,E,BIEN,NON,1,22.0,2017
2017712,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,21.0,2017
2017735,M,IVOIRIENNE,C,BIEN,NON,1,24.0,2017
2017737,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,24.0,2017
2017740,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,4,21.0,2017
2017751,M,IVOIRIENNE,C,TRES BIEN,NON,1,21.0,2017
2017753,F,IVOIRIENNE,F3,PASSABLE,NON,19,22.0,2017
2017771,M,IVOIRIENNE,C,BIEN,NON,1,20.0,2017
2017776,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,20.0,2017
2017783,M,IVOIRIENNE,G2,ASSEZ-BIEN,NON,7,22.0,2017
2017785,M,IVOIRIENNE,S,PASSABLE,NON,6,21.0,2017
2017787,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,22.0,2017
2017791,M,IVOIRIENNE,A1,BIEN,NON,1,22.0,2017
2017794,M,IVOIRIENNE,F3,PASSABLE,NON,1,22.0,2017
2017796,M,BENINOISE,C,BIEN,NON,11,21.0,2017
2017804,F,IVOIRIENNE,C,BIEN,NON,1,21.0,2017
2017805,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,19.0,2017
2017807,M,IVOIRIENNE,F1,PASSABLE,NON,10,24.0,2017
2017813,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,15,21.0,2017
2017822,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,3,22.0,2017
2017826,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,10,21.0,2017
2017833,M,IVOIRIENNE,C,BIEN,NON,1,21.0,2017
2017834,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,21.0,2017
2017838,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,21.0,2017
2017843,M,IVOIRIENNE,D,BIEN,NON,3,21.0,2017
2017844,M,IVOIRIENNE,D,BIEN,NON,1,20.0,2017
2017845,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,20.0,2017
2017853,M,IVOIRIENNE,C,PASSABLE,NON,2,21.0,2017
2017876,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,22.0,2017
2017886,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,22.0,2017
2017892,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,21.0,2017
2017908,M,IVOIRIENNE,F1,PASSABLE,NON,6,21.0,2017
2017942,M,IVOIRIENNE,F4,PASSABLE,NON,2,21.0,2017
2017952,M,IVOIRIENNE,C,BIEN,NON,1,21.0,2017
2017954,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,22.0,2017
2017960,M,IVOIRIENNE,C,BIEN,NON,1,21.0,2017
2017966,M,IVOIRIENNE,F3,ASSEZ-BIEN,NON,1,24.0,2017
2017970,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,29,22.0,2017
2017986,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,21.0,2017
2017990,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,21.0,2017
20171001,M,IVOIRIENNE,D,BIEN,NON,1,22.0,2017
20171005,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,9,20.0,2017
20171032,M,IVOIRIENNE,F3,PASSABLE,NON,5,22.0,2017
20171034,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,6,19.0,2017
20171038,M,IVOIRIENNE,D,BIEN,NON,2,22.0,2017
20171044,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,8,21.0,2017
20171050,M,IVOIRIENNE,F3,BIEN,NON,1,22.0,2017
20171060,M,IVOIRIENNE,G2,ASSEZ-BIEN,NON,1,26.0,2017
20171068,M,IVOIRIENNE,G2,ASSEZ-BIEN,NON,21,22.0,2017
20171073,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,3,21.0,2017
20171086,F,IVOIRIENNE,D,BIEN,NON,1,21.0,2017
20171096,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,22.0,2017
20171101,M,IVOIRIENNE,C,BIEN,NON,1,20.0,2017
20171102,M,IVOIRIENNE,F7,ASSEZ-BIEN,NON,2,21.0,2017
20171108,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,5,21.0,2017
20171111,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,21.0,2017
20171125,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,8,20.0,2017
20171127,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,3,21.0,2017
20171129,M,IVOIRIENNE,G2,ASSEZ-BIEN,OUI,4,23.0,2017
20171130,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,11,20.0,2017
20171138,M,IVOIRIENNE,C,BIEN,NON,19,21.0,2017
20171147,F,IVOIRIENNE,D,TRES BIEN,NON,1,21.0,2017
20171158,F,IVOIRIENNE,D,BIEN,NON,1,21.0,2017
20171163,M,IVOIRIENNE,A1,BIEN,NON,3,20.0,2017
20171164,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,9,21.0,2017
20171176,M,IVOIRIENNE,D,BIEN,NON,2,21.0,2017
20171181,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,22.0,2017
20171190,M,IVOIRIENNE,C,PASSABLE,NON,15,21.0,2017
20171195,M,IVOIRIENNE,C,BIEN,NON,7,21.0,2017
20171206,M,IVOIRIENNE,D,BIEN,NON,1,24.0,2017
20171217,M,IVOIRIENNE,S,ASSEZ-BIEN,NON,10,21.0,2017
20171220,F,IVOIRIENNE,A1,ASSEZ-BIEN,NON,1,21.0,2017
20171227,M,IVOIRIENNE,C,ASSEZ-BIEN,OUI,1,22.0,2017
20171234,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,2,22.0,2017
20171235,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,4,21.0,2017
20171238,M,IVOIRIENNE,C,BIEN,NON,1,21.0,2017
20171249,M,IVOIRIENNE,F7,ASSEZ-BIEN,NON,2,21.0,2017
20171253,M,IVOIRIENNE,B,ASSEZ-BIEN,NON,1,24.0,2017
20171271,M,IVOIRIENNE,F1,PASSABLE,NON,3,22.0,2017
20171278,F,IVOIRIENNE,C,BIEN,NON,4,20.0,2017
20171281,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,20.0,2017
20171286,M,IVOIRIENNE,G2,ASSEZ-BIEN,OUI,1,24.0,2017
20171288,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,21.0,2017
20171289,M,IVOIRIENNE,E,PASSABLE,NON,14,21.0,2017
20171292,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,10,21.0,2017
20171293,M,IVOIRIENNE,F3,PASSABLE,NON,2,25.0,2017
20171294,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,3,21.0,2017
20171296,M,IVOIRIENNE,D,BIEN,OUI,1,25.0,2017
20171304,M,IVOIRIENNE,G2,ASSEZ-BIEN,OUI,1,22.0,2017
20171311,M,IVOIRIENNE,F2,PASSABLE,OUI,3,22.0,2017
20171313,M,IVOIRIENNE,C,BIEN,NON,7,21.0,2017
20171315,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,23.0,2017
20171325,M,IVOIRIENNE,C,PASSABLE,NON,8,20.0,2017
20171326,M,IVOIRIENNE,G2,ASSEZ-BIEN,NON,4,24.0,2017
20171330,M,IVOIRIENNE,C,TRES BIEN,NON,3,21.0,2017
20171337,M,IVOIRIENNE,F2,ASSEZ-BIEN,NON,3,21.0,2017
20171338,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,24.0,2017
20171341,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,22.0,2017
20171343,M,IVOIRIENNE,D,BIEN,NON,4,21.0,2017
20171344,M,IVOIRIENNE,D,BIEN,NON,6,21.0,2017
20171345,M,IVOIRIENNE,D,BIEN,NON,5,21.0,2017
20171349,M,IVOIRIENNE,D,BIEN,NON,1,19.0,2017
20171352,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,23.0,2017
20171357,M,IVOIRIENNE,F3,ASSEZ-BIEN,NON,3,22.0,2017
20171363,M,IVOIRIENNE,B,PASSABLE,NON,1,23.0,2017
20171369,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,23,21.0,2017
20171373,M,IVOIRIENNE,E,PASSABLE,NON,19,21.0,2017
20171375,F,IVOIRIENNE,F3,ASSEZ-BIEN,NON,4,20.0,2017
20171376,M,IVOIRIENNE,D,ASSEZ-BIEN,OUI,1,25.0,2017
