identifiantCandidat,genre,nationalite,serie,mentionAuBac,redoublementTerminale,rangEnTerminale,age,annee
2017496,F,IVOIRIENNE,A2,PASSABLE,NON,3,22.0,2017
2017497,M,IVOIRIENNE,C,BIEN,NON,3,21.0,2017
2017498,M,IVOIRIENNE,E,PASSABLE,NON,11,22.0,2017
2017499,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,13,22.0,2017
2017501,M,IVOIRIENNE,D,PASSABLE,NON,8,21.0,2017
2017502,M,IVOIRIENNE,C,PASSABLE,OUI,2,22.0,2017
2017503,F,IVOIRIENNE,C,BIEN,NON,14,22.0,2017
2017504,M,IVOIRIENNE,BT COMPTABILITE ET COMMERCE,PASSABLE,NON,3,26.0,2017
2017505,F,IVOIRIENNE,D,BIEN,NON,1,21.0,2017
2017507,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,2,24.0,2017
2017508,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,22.0,2017
2017509,F,IVOIRIENNE,D,PASSABLE,NON,31,23.0,2017
2017510,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,17,21.0,2017
2017511,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,22,21.0,2017
2017512,M,IVOIRIENNE,F3,PASSABLE,NON,4,24.0,2017
2017513,M,IVOIRIENNE,C,PASSABLE,NON,1,27.0,2017
2017514,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,2,21.0,2017
2017515,F,IVOIRIENNE,A1,ASSEZ-BIEN,NON,26,21.0,2017
2017516,M,IVOIRIENNE,C,PASSABLE,NON,3,21.0,2017
2017517,M,IVOIRIENNE,F4,BIEN,NON,2,21.0,2017
2017518,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,22.0,2017
2017519,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,10,21.0,2017
2017520,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,9,21.0,2017
2017521,F,IVOIRIENNE,A1,PASSABLE,NON,2,24.0,2017
2017522,F,IVOIRIENNE,D,PASSABLE,NON,8,21.0,2017
2017523,M,IVOIRIENNE,A1,ASSEZ-BIEN,OUI,3,23.0,2017
2017524,M,IVOIRIENNE,C,BIEN,NON,3,21.0,2017
2017525,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,3,21.0,2017
2017526,F,IVOIRIENNE,D,PASSABLE,NON,1,22.0,2017
2017527,M,IVOIRIENNE,E,ASSEZ-BIEN,NON,1,22.0,2017
2017528,F,IVOIRIENNE,A1,ASSEZ-BIEN,NON,4,21.0,2017
2017529,F,IVOIRIENNE,G2,PASSABLE,NON,4,,2017
2017530,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,20.0,2017
2017531,M,IVOIRIENNE,F3,PASSABLE,NON,4,24.0,2017
2017532,M,IVOIRIENNE,F3,PASSABLE,NON,5,24.0,2017
2017533,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,14,22.0,2017
2017534,M,IVOIRIENNE,C,TRES BIEN,NON,2,21.0,2017
2017535,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,7,18.0,2017
2017536,F,IVOIRIENNE,G2,PASSABLE,NON,14,21.0,2017
2017537,M,IVOIRIENNE,C,PASSABLE,NON,10,22.0,2017
2017538,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,19,21.0,2017
2017539,M,IVOIRIENNE,D,PASSABLE,OUI,1,23.0,2017
2017540,F,IVOIRIENNE,A1,PASSABLE,NON,5,21.0,2017
2017541,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,21.0,2017
2017542,F,IVOIRIENNE,G2,PASSABLE,NON,13,23.0,2017
2017543,F,IVOIRIENNE,A1,PASSABLE,OUI,19,26.0,2017
2017544,M,IVOIRIENNE,F2,ASSEZ-BIEN,NON,1,22.0,2017
2017545,M,IVOIRIENNE,D,PASSABLE,NON,5,21.0,2017
2017546,F,IVOIRIENNE,C,PASSABLE,NON,2,20.0,2017
2017547,M,IVOIRIENNE,C,BIEN,NON,2,21.0,2017
2017548,M,IVOIRIENNE,D,ASSEZ-BIEN,OUI,19,21.0,2017
2017549,M,IVOIRIENNE,G2,PASSABLE,NON,1,25.0,2017
2017550,M,IVOIRIENNE,D,PASSABLE,NON,15,21.0,2017
2017551,M,IVOIRIENNE,D,PASSABLE,OUI,2,23.0,2017
2017552,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,18,23.0,2017
2017553,M,IVOIRIENNE,D,PASSABLE,NON,5,21.0,2017
2017554,M,IVOIRIENNE,BT MAINTENANCE ELECTROMECANIQUE,PASSABLE,NON,1,24.0,2017
2017555,F,IVOIRIENNE,D,PASSABLE,NON,37,22.0,2017
2017556,F,IVOIRIENNE,D,PASSABLE,NON,30,23.0,2017
2017557,F,IVOIRIENNE,A1,ASSEZ-BIEN,NON,2,20.0,2017
2017558,F,IVOIRIENNE,D,PASSABLE,NON,3,21.0,2017
2017559,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,21.0,2017
2017560,M,IVOIRIENNE,G2,PASSABLE,NON,6,22.0,2017
2017561,F,IVOIRIENNE,A2,PASSABLE,NON,8,25.0,2017
2017562,M,IVOIRIENNE,A2,ASSEZ-BIEN,NON,4,20.0,2017
2017563,F,IVOIRIENNE,A1,PASSABLE,NON,10,21.0,2017
2017564,M,IVOIRIENNE,E,PASSABLE,NON,8,21.0,2017
2017565,M,IVOIRIENNE,D,PASSABLE,OUI,41,26.0,2017
2017566,M,IVOIRIENNE,A1,ASSEZ-BIEN,NON,19,21.0,2017
2017567,F,IVOIRIENNE,D,PASSABLE,NON,38,24.0,2017
2017568,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,21.0,2017
2017569,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,9,22.0,2017
2017570,M,IVOIRIENNE,F1,PASSABLE,NON,9,21.0,2017
2017571,M,IVOIRIENNE,A1,ASSEZ-BIEN,NON,5,21.0,2017
2017572,F,IVOIRIENNE,A2,ASSEZ-BIEN,OUI,3,24.0,2017
2017573,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,3,19.0,2017
2017574,M,IVOIRIENNE,A2,PASSABLE,NON,5,22.0,2017
2017576,M,IVOIRIENNE,D,BIEN,NON,1,21.0,2017
2017577,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,22.0,2017
2017578,F,IVOIRIENNE,G2,ASSEZ-BIEN,NON,2,24.0,2017
2017579,F,IVOIRIENNE,A2,PASSABLE,OUI,2,23.0,2017
2017580,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,14,22.0,2017
2017581,M,IVOIRIENNE,C,PASSABLE,NON,1,20.0,2017
2017582,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,25,22.0,2017
2017583,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,20.0,2017
